task,stimTop,stimLeft,stimRight,corrAns,gender,race,emotionType,stimSet,imageSet
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
match,FAZ_23.jpg,FAZ_23.jpg,FAX_43.jpg,left,F,White,A,GUR,A
match,26M_FE_O.jpg,26M_FE_O.jpg,27M_FE_O.BMP,left,M,White,F,NIM,A
match,MFZ_50.jpg,MFX_16.jpg,MFZ_50.jpg,right,M,MIXED,F,GUR,A
match,09F_AN_O.jpg,09F_AN_O.jpg,10F_AN_O.jpg,left,F,White,A,NIM,A
match,39M_AN_O.jpg,38M_AN_O.BMP,39M_AN_O.jpg,right,M,Black,A,NIM,A
match,FFX_130.jpg,FFZ_102.jpg,FFX_130.jpg,right,F,White,F,GUR,A
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
match,05F_FE_O.jpg,03F_FE_O.jpg,05F_FE_O.jpg,right,F,White,F,NIM,B
match,FAZ_32.jpg,FAZ_32.jpg,FAX_45.jpg,left,F,Black,A,GUR,B
match,MAZ_101.jpg,MAZ_128.jpg,MAZ_101.jpg,right,M,White,A,GUR,B
match,11F_AN_O.jpg,11F_AN_O.jpg,12F_AN_O.jpg,left,F,Black,A,NIM,B
match,33M_FE_O.jpg,26M_FE_O.jpg,33M_FE_O.jpg,right,M,White,F,NIM,B
match,MFZ_132.jpg,MFZ_132.jpg,MFZ_120.jpg,left,M,White,F,GUR,B
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
match,FAZ_23.jpg,FAZ_23.jpg,FAX_43.jpg,left,F,White,A,GUR,A
match,26M_FE_O.jpg,26M_FE_O.jpg,27M_FE_O.BMP,left,M,White,F,NIM,A
match,MFZ_50.jpg,MFZ_50.jpg,MFX_16.jpg,left,M,MIXED,F,GUR,A
match,09F_AN_O.jpg,10F_AN_O.jpg,09F_AN_O.jpg,right,F,White,A,NIM,A
match,39M_AN_O.jpg,38M_AN_O.BMP,39M_AN_O.jpg,right,M,Black,A,NIM,A
match,FFX_130.jpg,FFZ_102.jpg,FFX_130.jpg,right,F,White,F,GUR,A
