task,stimTop,stimLeft,stimRight,corrAns,gender,race,emotionType,stimSet,imageSet
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
match,21M_FE_O.jpg,20M_FE_O.jpg,21M_FE_O.jpg,right,M,White,F,NIM,A
match,07F_AN_O.jpg,01F_AN_O.jpg,07F_AN_O.jpg,right,F,White,A,NIM,A
match,FFZ_102.jpg,FFX_139.jpg,FFZ_102.jpg,right,F,White,F,GUR,A
match,23M_AN_O.jpg,23M_AN_O.jpg,22M_AN_O.jpg,left,M,White,A,NIM,A
match,MAZ_146.jpg,MAZ_146.jpg,MAX_233.jpg,left,M,Black,A,GUR,A
match,15F_FE_O.jpg,15F_FE_O.jpg,16F_FE_O.jpg,left,F,Asian,F,NIM,A
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
match,FFX_54.jpg,FFX_54.jpg,FAX_51.jpg,left,F,White,F,GUR,B
match,41M_FE_O.jpg,40M_FE_O.BMP,41M_FE_O.jpg,right,M,Black,F,NIM,B
match,29M_AN_O.jpg,29M_AN_O.jpg,28M_AN_O.jpg,left,M,White,A,NIM,B
match,FFZ_29.jpg,FFZ_18.jpg,FFZ_29.jpg,right,F,Black,F,GUR,B
match,19F_AN_O.jpg,19F_AN_O.jpg,09F_AN_O.jpg,left,F,White,A,NIM,B
match,MFZ_7.jpg,MFZ_132.jpg,MFZ_7.jpg,right,M,White,F,GUR,B
distractor,oval-vertical.bmp,circle.bmp,oval-vertical.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,circle.bmp,left,,,,,
distractor,oval-vertical.bmp,oval-horizontal.bmp,oval-vertical.bmp,right,,,,,
distractor,circle.bmp,oval-horizontal.bmp,circle.bmp,right,,,,,
distractor,oval-horizontal.bmp,oval-horizontal.bmp,oval-vertical.bmp,left,,,,,
distractor,circle.bmp,circle.bmp,oval-vertical.bmp,left,,,,,
match,21M_FE_O.jpg,20M_FE_O.jpg,21M_FE_O.jpg,right,M,White,F,NIM,A
match,07F_AN_O.jpg,07F_AN_O.jpg,01F_AN_O.jpg,left,F,White,A,NIM,A
match,FFZ_102.jpg,FFZ_102.jpg,FFX_139.jpg,left,F,White,F,GUR,A
match,23M_AN_O.jpg,22M_AN_O.jpg,23M_AN_O.jpg,right,M,White,A,NIM,A
match,MAZ_146.jpg,MAX_233.jpg,MAZ_146.jpg,right,M,Black,A,GUR,A
match,15F_FE_O.jpg,15F_FE_O.jpg,16F_FE_O.jpg,left,F,Asian,F,NIM,A
